VideoID,Comments
NjBSy2Da4KE,"Здравствуйте месяца 3- 4 назад лечили зубы мудрости, врач сказала не все лечат их но я сделаю.прошло пару месяцев  После жевания  жвачки заболел верхний. А после надкуса помидор нижний. Что делать, может зря лечили"
NjBSy2Da4KE,"Спасибо, болели от холодного 4 пломбы буду ждать 2 недели надеюсь пройдет"
NjBSy2Da4KE,"Здравствуйте, один передний зуб, удалили нерв , поставили временную пломбу, но оно все равно болит и чувствую эту боль ужасно, но врач пот тачил и поставил мне зуб но все зубы я не чувствую боли а именно одного зуба боль я чувствую, что это может быть?"
NjBSy2Da4KE,Я сегодня в больницу пошла  и коставила рлобу это больно
NjBSy2Da4KE,Мне теперь терпеть 5зубов терпеть 2-3недели 😢
NjBSy2Da4KE,а если пломба чуть завышенная но при еде не чуствую а когда рот закрыт ее не чуствую но при этом этот зуб будто ломается
NjBSy2Da4KE,"Здравствуйте, спасибо большое за видео! Убрали старые пломбы, поставили одну - световую. Просверлили глубоко ткани, открылась маленькая дырочка к нервным каналам. Прошло уже более 2х недель, зубик чувствует холодное и горячее и есть боль при надкусывании пищи, но он не ноет и сам по себе не болит, только при манипуляциях! Может ли помочь лазерное лечение и пасты и сохранить нерв живым? Благодарю♥"
NjBSy2Da4KE,"Добрый день. Наткнулся на ваш канал, понравилась преподнесение информации. Подскажите пожалуйста. Лечил кариес сразу у двух рядом стоящих зубов, у одного меняли старую пломбу, у дрогого был кариес. Так вот после лечения, зуб стал остро реагировать при нажатии на пломбу в определенных местах. Поясню, если жевать что то мягкое все хорошо, зуб не беспокоит, не ноет ни днем ни по ночам, нахолодное горячее не реагирует. И именно при надавливании на пломбу чем то твердым, ну например косточка винограда, или косточка в меся, происходит сильная боль, как на синяк надавить. Причем так на обоих зубах. При повторном обращении подточили пломбы, хотя они мне не мешали. Врач сказала, что если не проидет то удалять нервы только.. В итоге через пару месяцев поехал удалять нервы, но после того как она убрала пломбу, она сказала , что ей жалко зуб, что до нерва еще далеко, и предложила поменять пломбу, на что я естественно согласился. Ситуация немного поменялась, но не ушла, зуб так же реагирует, но уже чуть в другом месте, именно когда давление на саму пломбу, по середине, прям в канавке,даже если еле задевать зубочисткой пломбу в этом месте, чувствуется как буд то я по нерву скребу:) Не знаю как лучше передать это..... Если давить по бокам зуба как бы на вершине, не больно, но только еда попадает в середину зуба и спресовывается в канавке, начинается чувствительность. Решил ждать, мб проидет, не хочу пока удалять нерв/ Сколько такое может болеть?))) По снимкам паталогии нет."
NjBSy2Da4KE,Здравствуйте мне вот поставили пломбу и она не болела потом через несколько дней начала сильно болеть надавливаю болеет и я его не трогаю но все  равно болеет пробовал способы боль проходит и обратно болеет что сэтим делать скажите пожалуйста
NjBSy2Da4KE,скажите какие симптомы пульпита в 6 и 7 зубах?
NjBSy2Da4KE,У меня прошло в течение 3-4 мес только
NjBSy2Da4KE,"Здравствуйте, при осмотре у стоматолога, врач посоветовала запломбировать клиновидный дефект зуба. Было запломбировано четыре зуба, после чего два зуба стали особенно чувствительны, жевать на сторону этих зубов не могу. Уже почти две недели прошло, а улучшений никаких, причем до пломбирования зуб вообще не беспокоил. Стоило ли вообще пломбировать этот клиновидный дефект и что теперь делать?"
NjBSy2Da4KE,"Здравствуйте, поставил пломбу чуть больше месяца назад,нерв не удаляли,все было нормально ,только слегка повышенная чуствительность на холодное и горячее, теперь же начал болеть,ноющая боль с утра,только обезбаливающие помогают,отека никакого нет,я беспокоюсь что может быть воспаление,хотя уже прошло около 45 дней, из за чего в моем случае может болеть?Заранее спасибо за ответ"
