title,authors,average_rating,language_code,num_pages,ratings_count,text_reviews_count,publication_date,publisher,title_ser,num_in_ser,month,day,year,century,num_coauthors,pages_category,ar_fillna,np_fillna,publisher_fillna
Harry Potter and the Chamber of Secrets,J.K. Rowling,4.42,eng,352.0,6333,244,11/1/2003,Scholastic,Harry Potter,2,11,1,2003,21,1,от 100 до 500 стр.,4.42,352.0,Scholastic
"Unauthorized Harry Potter Book Seven News: ""Half-Blood Prince"" Analysis and Speculatio",W. Frederick Zimmerman,3.74,other,152.0,19,1,4/26/2005,Nimble Books,-,0,4,26,2005,21,1,от 100 до 500 стр.,3.74,152.0,Nimble Books
The Hitchhiker's Guide to the Galaxy,Douglas Adams,4.22,eng,215.0,4930,460,8/3/2004,Crown,Hitchhiker's Guide to the Galaxy,1,8,3,2004,21,1,от 100 до 500 стр.,4.22,215.0,Crown
Bill Bryson's African Diar,Bill Bryson,3.44,eng,55.0,7270,499,12/3/2002,Broadway Books,-,0,12,3,2002,21,1,до 100 стр.,3.44,55.0,Broadway Books
Bryson's Dictionary of Troublesome Words: A Writer's Guide to Getting It Righ,Bill Bryson,3.87,eng,256.0,2088,131,9/14/2004,Broadway Books,-,0,9,14,2004,21,1,от 100 до 500 стр.,3.87,256.0,Broadway Books
I'm a Stranger Here Myself: Notes on Returning to America After Twenty Years Awa,Bill Bryson,,eng,304.0,49240,2211,6/28/2000,Broadway Books,-,0,6,28,2000,20,1,от 100 до 500 стр.,3.95,304.0,Broadway Books
The Lost Continent: Travels in Small Town Americ,Bill Bryson,3.83,eng,299.0,45712,2257,8/28/1990,William Morrow Paperbacks,-,0,8,28,1990,20,1,от 100 до 500 стр.,3.83,299.0,William Morrow Paperbacks
Neither Here nor There: Travels in Europ,Bill Bryson,3.86,eng,254.0,48701,2238,3/28/1993,William Morrow Paperbacks,-,0,3,28,1993,20,1,от 100 до 500 стр.,3.86,254.0,William Morrow Paperbacks
The Mother Tongue: English and How It Got That Wa,Bill Bryson,3.93,eng,270.0,28489,2085,9/28/1991,,-,0,9,28,1991,20,1,от 100 до 500 стр.,3.93,270.0,Vintage
The Lord of the Rings: Weapons and Warfar,Chris   Smith/Christopher  Lee/Richard Taylor,4.53,eng,218.0,19822,46,11/5/2003,Houghton Mifflin Harcourt,-,0,11,5,2003,21,3,от 100 до 500 стр.,4.53,218.0,Houghton Mifflin Harcourt
