Обложка (журнал + год),А1 (Раса),А2 (Возраст),А3 (Телосложение),,Б1 (Цвет волос),Б2 (Длина волос),Б3 (Макияж),В1 (Пафос обложки),В2 (Степень оголенности) ,В3 (Реквизит),Г1 (год издания)
VOGUE 1953,0,0,1,0,0,0,2,3,0,3,0
PLAYBOY 1953,0,0,1,1,3,1,1,5,1,0,0
VOGUE 1954,0,0,0,-,4,0,1,3,0,0,0
PLAYBOY 1954,0,0,1,1,0,1,1,0,1,0,0
VOGUE 1955,0,0,1,0,0,4,1,2,0,2,0
PLAYBOY 1955,0,0,1,1,3,0,3,0,2,7,0
VOGUE 1956,0,0,1,0,1,2,1,3,0,"5,6",0
PLAYBOY 1956,0,0,1,2,0,2,1,5,2,0,0
VOGUE 1957,0,0,0,-,3,1,1,1,1,0,0
PLAYBOY 1957,0,0,1,2,3,1,1,4,1,0,0
VOGUE 1958,0,0,0,-,2,1,1,4,1,"1,2",0
PLAYBOY 1958,0,0,0,-,3,3,1,3,1,0,0
VOGUE 1959,0,0,1,0,0,1,1,4,0,5,0
PLAYBOY 1959,0,0,1,1,0,0,3,5,2,7,0
VOGUE 1960,0,0,0,-,0,4,1,1,0,2,0
PLAYBOY 1960,0,0,1,2,3,4,3,0,2,0,0
VOGUE 1961,0,0,1,1,1,1,1,2,0,"5,6",0
PLAYBOY 1961,0,0,1,1,2,2,0,1,1,12,0
VOGUE 1962,0,0,0,-,2,4,0,1,0,2,0
PLAYBOY 1962,0,0,1,1,0,1,1,4,1,0,0
VOGUE 1963,0,0,1,1,3,1,2,1,1,2,1
PLAYBOY 1963,0,0,1,1,4,2,1,0,1,17,1
VOGUE 1964,0,0,0,-,1,1,2,2,0,10,1
PLAYBOY 1964,0,0,1,1,2,2,2,3,2,0,1
VOGUE 1965,0,0,1,1,1,2,2,3,0,0,1
PLAYBOY 1965,0,0,1,1,0,4,1,5,1,0,1
,,,,,,,,,,,1
VOGUE 1966,0,0,0,-,2,1,0,3,0,0,1
PLAYBOY 1966,0,0,0,-,0,1,0,1,1,8,1
VOGUE  1967,0,0,0,-,2,2,0,3,0,0,1
PLAYBOY 1967,0,0,1,1,3,3,1,4,0,9,1
VOGUE 1968,0,0,0,-,2,2,2,3,0,0,1
PLAYBOY 1968,0,0,1,1,3,2,0,0,1,0,1
VOGUE 1969,0,0,0,- ,2,2,0,3,0,0,1
PLAYBOY 1969,0,0,1,1,1,2,0,0,2,10,1
VOGUE 1970,0,0,0,-,0,4,0,1,0,0,1
PLAYBOY 1970,0,0,1,0,3,2,0,0,2,16,1
VOGUE 1971,0,1,0,-,3,4,0,3,0,0,1
PLAYBOY 1971,2,0,1,0,0,0,0,0,1,0,1
VOGUE 1972,0,0,0,-,3,1,0,3,0,0,1
PLAYBOY 1972,0,0,1,0,3,2,0,0,1,0,1
VOGUE 1973,0,0,0,-,3,1,0,1,0,0,2
PLAYBOY 1973,0,0,1,1,2,2,0,0,1,0,2
VOGUE 1974,2,0,0,-,0,0,0,1,0,0,2
PLAYBOY 1974,0,0,1,0,2,2,0,0,1,0,2
VOGUE 1975,0,0,0,-,3,1,0,2,0,0,2
PLAYBOY 1975,0,0,1,0,3,1,0,0,2,11,2
VOGUE 1976,0,0,0,-,2,1,0,2,0,0,2
PLAYBOY 1976,0,0,1,0,2,2,0,0,1,18,2
VOGUE 1977,0,0,0,-,3,2,1,2,0,0,2
PLAYBOY 1977,0,0,1,0,2,2,0,0,1,0,2
VOGUE 1978,0,0,0,-,-,4,1,2,0,,2
PLAYBOY 1978,0,1,0,-,3,1,1,3,0,0,2
VOGUE 1979,0,0,0,-,3,2,0,1,0,0,2
VOGUE 1980,0,0,0,-,1,2,1,1,0,0,2
VOGUE 1981,0,0,0,-,0,1,2,3,0,0,2
VOGUE 1982,0,0,0,-,0,0,1,3,0,0,2
VOGUE 1983,0,0,0,-,1,0,0,1,0,0,3
VOGUE 1984,0,0,0,-,1,2,1,4,0,0,3
VOGUE 1985,0,0,0,-,1,4,1,3,0,2,3
VOGUE 1986,0,0,0,-,2,2,0,1,0,0,3
VOGUE 1987,0,0,0,-,2,2,0,4,0,19,3
VOGUE 1988,0,0,1,0,2,3,0,1,0,0,3
VOGUE 1989,0,0,1,0,0,4,0,1,1,0,3
VOGUE 1990,0,0,1,0,3,2,0,1,1,0,3
VOGUE 1991,0,0,1,0,2,3,1,3,1,0,3
PLAYBOY 1979,0,0,1,0,3,1,0,2,1,0,2
PLAYBOY 1980,0,0,1,0,3,2,1,1,1,0,2
PLAYBOY 1981,0,0,1,0,3,2,1,3,1,0,2
PLAYBOY 1982,0,0,1,0,3,2,2,1,1,16,2
PLAYBOY 1983,0,0,1,0,3,4,1,1,1,16,3
PLAYBOY 1984,0,0,1,0,2,4,3,5,1,2,3
PLAYBOY 1985,0,0,1,0,1,2,2,3,2,0,3
PLAYBOY 1986,0,0,1,0,3,1,3,1,1,2,3
PLAYBOY 1987,2,0,1,0,1,1,2,4,1,6,3
PLAYBOY 1988,0,0,1,0,3,4,0,3,1,0,3
PLAYBOY 1989,0,0,1,0,3,2,0,1,1,16,3
PLAYBOY 1990,2,0,1,0,3,3,3,1,1,2,3
PLAYBOY 1991,0,0,1,0,0,2,1,3,1,16,3
VOGUE 1992,0,0,1,0,1,0,0,3,1,0,3
PLAYBOY 1992,0,0,0,-,1,2,0,4,1,11,3
VOGUE 1993,0,0,1,0,1,0,0,1,0,0,4
PLAYBOY 1993,0,0,0,-,3,2,2,3,1,0,4
VOGUE 1994,0,0,1,0,3,2,1,4,0,0,4
PLAYBOY 1994,0,0,1,0,3,2,0,3,2,0,4
VOGUE 1995,0,0,1,0,3,2,1,4,1,0,4
PLAYBOY1995,0,0,1,0,1,3,1,5,0,0,4
VOGUE 1996,0,0,1,0,0,0,2,2,0,0,4
PLAYBOY 1996,0,0,1,0,1,4,1,2,1,13,4
VOGUE 1997,0,0,0,-,3,3,1,3,0,0,4
PLAYBOY 1997,0,0,0,-,3,2,2,4,0,0,4
VOGUE 1998,2,0,1,0,0,3,0,3,0,0,4
PLAYBOY 1998,0,0,0,-,1,2,1,1,0,0,4
VOGUE 1999,0,0,1,0,1,2,2,4,0,0,4
PLAYBOY 1999,0,0,1,0,3,1,1,3,2,0,4
VOGUE 2000,0,0,1,0,1,0,0,3,0,0,4
PLAYBOY 2000,0,0,1,0,0,2,1,4,1,14,4
