"global_id";"ID";"Year";"Month";"Name";"NumberOfPersons";
"global_id";"Код";"Год";"Месяц";"Имя";"Количество человек";
"37750254";"1";"2015";"январь";"Мария";"252";
"37750255";"2";"2015";"январь";"Анастасия";"224";
"37750256";"3";"2015";"январь";"Анна";"190";
"37750257";"4";"2015";"январь";"Варвара";"190";
"37750258";"5";"2015";"январь";"Виктория";"186";
"62367755";"483";"2015";"май";"Амелия";"8";
"62367756";"484";"2015";"май";"Камила";"8";
"62367757";"485";"2015";"май";"Евангелина";"8";
"62367758";"486";"2015";"май";"Альбина";"8";
"62367759";"487";"2015";"май";"Владислава";"8";
"62367760";"488";"2015";"май";"Айлин";"8";
"62367761";"489";"2015";"май";"Евдокия";"7";
"62367762";"490";"2015";"май";"Марьям";"7";
"62367763";"491";"2015";"май";"Лейла";"7";
"62367764";"492";"2015";"май";"Мелисса";"7";
"62367765";"493";"2015";"май";"Амира";"7";
"62367766";"494";"2015";"май";"Оливия";"7";
"62367767";"495";"2015";"май";"Виталина";"7";
"62367768";"496";"2015";"май";"Станислава";"6";
"62367769";"497";"2015";"май";"Марьяна";"6";
"62367770";"498";"2015";"май";"Фатима";"6";
"62367771";"499";"2015";"май";"Влада";"6";
"62367772";"500";"2015";"май";"Дана";"6";
"62367773";"501";"2015";"июнь";"Мария";"271";
"62367774";"502";"2015";"июнь";"Анастасия";"242";
"62367775";"503";"2015";"июнь";"Виктория";"226";
"62367776";"504";"2015";"июнь";"София";"217";
"62367777";"505";"2015";"июнь";"Анна";"216";
"62367778";"506";"2015";"июнь";"Елизавета";"214";
"62367779";"507";"2015";"июнь";"Алиса";"191";
"62367780";"508";"2015";"июнь";"Дарья";"189";
"62367781";"509";"2015";"июнь";"Александра";"182";
"62367782";"510";"2015";"июнь";"Полина";"161";
"62367783";"511";"2015";"июнь";"Ксения";"157";
"62367784";"512";"2015";"июнь";"Варвара";"155";
"62367785";"513";"2015";"июнь";"Валерия";"149";
"62367786";"514";"2015";"июнь";"Екатерина";"141";
"62367787";"515";"2015";"июнь";"Арина";"134";
"62367789";"516";"2015";"июнь";"Вероника";"118";
"62367790";"517";"2015";"июнь";"Софья";"110";
"62367791";"518";"2015";"июнь";"Василиса";"108";
"62367792";"519";"2015";"июнь";"Милана";"103";
"62367794";"520";"2015";"июнь";"Ульяна";"101";
"62367795";"521";"2015";"июнь";"Ева";"99";
"62367796";"522";"2015";"июнь";"Кира";"86";
"62367797";"523";"2015";"июнь";"Вера";"67";
"62367798";"524";"2015";"июнь";"Маргарита";"66";
