"global_id";"ID";"Year";"Month";"Name";"NumberOfPersons";
"global_id";"Код";"Год";"Месяц";"Имя";"Количество человек";
"37750243";"1";"2015";"январь";"Александр";"253";
"37750244";"2";"2015";"январь";"Михаил";"247";
"37750245";"3";"2015";"январь";"Иван";"226";
"37750246";"4";"2015";"январь";"Максим";"208";
"37750247";"5";"2015";"январь";"Артём";"190";
"62361364";"6";"2015";"январь";"Даниил";"171";
"62361365";"7";"2015";"январь";"Дмитрий";"164";
"62361366";"8";"2015";"январь";"Кирилл";"151";
"62361367";"9";"2015";"январь";"Андрей";"130";
"62361368";"10";"2015";"январь";"Егор";"126";
"62361369";"11";"2015";"январь";"Илья";"122";
"62361370";"12";"2015";"январь";"Алексей";"108";
"62361371";"13";"2015";"январь";"Владимир";"107";
"62361372";"14";"2015";"январь";"Матвей";"102";
"62361373";"15";"2015";"январь";"Тимофей";"102";
"62361374";"16";"2015";"январь";"Ярослав";"91";
"62361375";"17";"2015";"январь";"Роман";"90";
"62361376";"18";"2015";"январь";"Фёдор";"87";
"62361377";"19";"2015";"январь";"Никита";"87";
"62361378";"20";"2015";"январь";"Марк";"85";
"62361379";"21";"2015";"январь";"Сергей";"84";
"62361380";"22";"2015";"январь";"Николай";"70";
"62361381";"23";"2015";"январь";"Владислав";"63";
"62361382";"24";"2015";"январь";"Степан";"61";
"62361383";"25";"2015";"январь";"Глеб";"57";
"62361384";"26";"2015";"январь";"Лев";"51";
"62361385";"27";"2015";"январь";"Павел";"51";
"62361387";"28";"2015";"январь";"Евгений";"50";
"62361388";"29";"2015";"январь";"Арсений";"49";
"62361389";"30";"2015";"январь";"Константин";"49";
"62361390";"31";"2015";"январь";"Георгий";"48";
"62361392";"32";"2015";"январь";"Григорий";"46";
"62361393";"33";"2015";"январь";"Тимур";"44";
"62361394";"34";"2015";"январь";"Макар";"40";
"62361396";"35";"2015";"январь";"Игорь";"39";
"62361397";"36";"2015";"январь";"Руслан";"36";
"62361398";"37";"2015";"январь";"Пётр";"36";
"62361400";"38";"2015";"январь";"Виктор";"35";
"62361401";"39";"2015";"январь";"Денис";"35";
"62361402";"40";"2015";"январь";"Семён";"34";
"62361404";"41";"2015";"январь";"Платон";"33";
"62361405";"42";"2015";"январь";"Артемий";"32";
"62361406";"43";"2015";"январь";"Богдан";"31";
"62361407";"44";"2015";"январь";"Василий";"30";
"62361409";"45";"2015";"январь";"Юрий";"30";
"62361410";"46";"2015";"январь";"Давид";"29";
"62361411";"47";"2015";"январь";"Данила";"29";
"62361412";"48";"2015";"январь";"Леонид";"28";
"62361413";"49";"2015";"январь";"Антон";"28";
"62361414";"50";"2015";"январь";"Вячеслав";"26";
"62361415";"51";"2015";"январь";"Амир";"26";
"62361416";"52";"2015";"январь";"Захар";"25";
"62361417";"53";"2015";"январь";"Мирон";"25";
"62361418";"54";"2015";"январь";"Савелий";"23";
"62361419";"55";"2015";"январь";"Всеволод";"21";
"62361420";"56";"2015";"январь";"Артур";"20";
"62361421";"57";"2015";"январь";"Адам";"19";
"62361422";"58";"2015";"январь";"Елисей";"19";
"62361423";"59";"2015";"январь";"Родион";"18";
"62361424";"60";"2015";"январь";"Олег";"18";
"62361425";"61";"2015";"январь";"Филипп";"17";
"62361427";"62";"2015";"январь";"Даниэль";"17";
"62361428";"63";"2015";"январь";"Вадим";"17";
"62361429";"64";"2015";"январь";"Лука";"17";
"62361430";"65";"2015";"январь";"Демид";"16";
"62361431";"66";"2015";"январь";"Умар";"15";
"62361432";"67";"2015";"январь";"Святослав";"15";
"62361433";"68";"2015";"январь";"Ян";"14";
"62361434";"69";"2015";"январь";"Дамир";"14";
"62361435";"70";"2015";"январь";"Данил";"14";
"62361436";"71";"2015";"январь";"Тихон";"13";
"62361437";"72";"2015";"январь";"Борис";"13";
"62361438";"73";"2015";"январь";"Гордей";"13";
"62361439";"74";"2015";"январь";"Артем";"12";
"62361440";"75";"2015";"январь";"Роберт";"11";
"62361441";"76";"2015";"январь";"Серафим";"11";
"62361442";"77";"2015";"январь";"Мирослав";"11";
"62361443";"78";"2015";"январь";"Валерий";"11";
"62361444";"79";"2015";"январь";"Виталий";"11";
"62361445";"80";"2015";"январь";"Мухаммад";"10";
"62361447";"81";"2015";"январь";"Марат";"10";
"62361448";"82";"2015";"январь";"Станислав";"10";
"62361449";"83";"2015";"январь";"Муслим";"10";
"62361450";"84";"2015";"январь";"Амин";"9";
"62361451";"85";"2015";"январь";"Герман";"9";
"62361452";"86";"2015";"январь";"Камиль";"9";
"62361453";"87";"2015";"январь";"Савва";"9";
"62361454";"88";"2015";"январь";"Али";"9";
"62361455";"89";"2015";"январь";"Тамерлан";"8";
"62361456";"90";"2015";"январь";"Юсуф";"8";
"62361457";"91";"2015";"январь";"Яков";"8";
"62361458";"92";"2015";"январь";"Рустам";"8";
"62361459";"93";"2015";"январь";"Эмиль";"7";
"62361460";"94";"2015";"январь";"Билал";"7";
"62361461";"95";"2015";"январь";"Нурислам";"7";
"62361462";"96";"2015";"январь";"Данис";"6";
"62361463";"97";"2015";"январь";"Ислам";"6";
"62361464";"98";"2015";"январь";"Эрик";"6";
"62361465";"99";"2015";"январь";"Игнат";"6";
"62365937";"736";"2015";"август";"Артемий";"47";
"62365938";"737";"2015";"август";"Мирон";"47";
"62365939";"738";"2015";"август";"Семён";"46";
"62365940";"739";"2015";"август";"Григорий";"45";
"62365941";"740";"2015";"август";"Евгений";"43";
"62365942";"741";"2015";"август";"Леонид";"42";
"62365943";"742";"2015";"август";"Антон";"40";
"62365944";"743";"2015";"август";"Игорь";"36";
"62365945";"744";"2015";"август";"Пётр";"33";
"62365946";"745";"2015";"август";"Данила";"32";
"62365947";"746";"2015";"август";"Захар";"29";
"62365948";"747";"2015";"август";"Богдан";"28";
"62365949";"748";"2015";"август";"Даниэль";"27";
"62365950";"749";"2015";"август";"Руслан";"27";
"62365951";"750";"2015";"август";"Василий";"26";
"62365952";"751";"2015";"август";"Олег";"25";
"62365953";"752";"2015";"август";"Вадим";"24";
"62365954";"753";"2015";"август";"Виктор";"24";
"62365956";"754";"2015";"август";"Дамир";"24";
"62365957";"755";"2015";"август";"Тихон";"24";
"62365958";"756";"2015";"август";"Юрий";"23";
"62365959";"757";"2015";"август";"Демид";"22";
"62365960";"758";"2015";"август";"Герман";"21";
"62365961";"759";"2015";"август";"Амир";"20";
"62365962";"760";"2015";"август";"Савва";"20";
